state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
,,,,,,,,,,0.0012126,0.0011435,0.0015566,0.0011342,0.0061895
,,,,,,,,,,0.000641,0.001444,0.0018398,0.0032728,0.0077914
,,,,,,,,,,0.0006447,0.0007481,0.0024255,0.002769,0.0073399
,,,,,,,,,,0,0.0005447,0.0020899,0.0005907,0.0048077
,,,,,,,,,,0.0007171,0.0015141,0.0020094,0.0034214,0.0082374
,,,,,,,,,,0.0006729,0.0019891,0.001494,0.004519,0.0037267
,,,,,,,,,,0,0,0.0033557,0.0029455,0.0150754
,,,,,,,,,,0.0002279,0.0016499,0.0006131,0.0029412,0.0072622
,,,,,,,,,,0.0005329,0.0012158,0.001446,0.0029763,0.0064625
,,,,,,,,,,0.0015601,0.0020398,0.0011928,0.0045998,0.0065531
,,,,,,,,,,0,0,0.0007257,0.0046083,0.0039063
,,,,,,,,,,0,0.0015083,0.0028531,0.0036832,0.003861
,,,,,,,,,,0.0013184,0.001938,0.0012555,0.0008,0.0063191
,,,,,,,,,,0.0001948,0.001132,0.0008709,0.0027568,0.0047925
,,,,,,,,,,0,0.000469,0.0005056,0,0.0052356
,,,,,,,,,,0,0,0.0005774,0.0013289,0.0034247
,,,,,,,,,,0.0007635,0.0008519,0.0014927,0.0037095,0.0069021
,,,,,,,,,,0.0011933,0,0,0,
,,,,,,,,,,0,0.0005543,0.0019516,0.0034803,0.0060241
,,,,,,,,,,0.0012336,0.0012835,0.0003668,0.0013889,0.0067545
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0,0.0017065,0.002064,0.004386
,,,,,,,,,,0.0004697,0.0003393,0.0003014,0,0.0028708
,,,,,,,,,,0.000554,0.0007123,0.0007541,0.0014526,0.0037616
,,,,,,,,,,0,0,0.0025543,0.0033613,0
,,,,,,,,,,0.0013141,0.0009099,0.0017406,0.0032715,0.0022779
,,,,,,,,,,0,0.0004097,0.0013418,0.0020317,0.0055911
,,,,,,,,,,0.0005602,0.0005233,0.0022518,0.0027523,0.0056243
,,,,,,,,,,0,0.0004863,0.0021053,0.0034136,0.0062967
,,,,,,,,,,0.0007487,0.0011918,0.0019605,0.002735,0.0052951
,,,,,,,,,,0,0,0.0023419,0.0009583,0.0033113
,,,,,,,,,,0.0008691,0.0016115,0.0009291,0.0028588,0.0053505
,,,,,,,,,,0.000974,0.0007225,0.0013425,0.0028711,0.0049361
,,,,,,,,,,0.0010989,0.0018105,0.0024184,0.0037313,0.0116359
,,,,,,,,,,0.0006519,0.001385,0.000701,0.0021361,0.005618
,,,,,,,,,,0.000526,0.0008079,0.0015576,0.001569,0.0028362
,,,,,,,,,,0.0007688,0.0012461,0.002272,0.0030059,0.0055707
,,,,,,,,,,0.0006219,0.0008229,0.0014741,0.0028218,0.0050906
,,,,,,,,,,0,0.000461,0.0027668,0.0028759,0.007706
,,,,,,,,,,0.0004011,0.0009012,0.0009869,0.0030295,0.0063035
,,,,,,,,,,0.0007637,0.0010466,0.0017741,0.0029817,0.0077886
,,,,,,,,,,0.0004246,0.0009222,0.0008121,0.0034722,0.0064991
,,,,,,,,,,0.0009846,0.0013492,0.0016821,0.0046248,0.0071692
,,,,,,,,,,0,0.0011236,0.0019608,0.0027322,0.0071942
