cz,city,state,stateabbrv,kid_count,inventor,kid_count_m,inventor_m,inventor_f,kid_count_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
15200,Cleveland,Ohio,OH,157087,0.0028901,78854,0.004502,0.0012657,78219,0.0004849,0.0009734,0.0020952,0.0035686,0.0064989
15300,Parkersburg,West Virginia,WV,12640,0.0013449,6448,0.0015509,0.0011305,6192,0,0.0006882,0.0009794,0.0024544,0.003358
15400,Zanesville,Ohio,OH,12825,0.0007018,6414,0.0010914,0.000312,6411,0.0004021,0.0005522,0.0005792,0.0004151,0.0035129
15500,Steubenville,Ohio,OH,7822,0.0007671,3947,0.0015201,0,3875,0.0014684,0,0.0013692,0.0005058,0
15600,Wheeling,West Virginia,WV,11381,0.0015816,5683,0.0029914,0.0001755,5698,0.0004755,0.0007522,0.0024527,0.0016214,0.0030817
15700,Scioto,Ohio,OH,13435,0.0006699,6865,0.001311,0,6570,0.0006691,0,0.0009033,0.000383,0.003006
15800,Athens,Ohio,OH,7910,0.0013906,3962,0.0020192,0.0007601,3947,0,0,0.0009916,0.0036153,0.005698
15900,Columbus,Ohio,OH,94011,0.0024252,47063,0.0041646,0.0006818,46934,0.0006375,0.0007483,0.0013349,0.0025577,0.0060669
16000,Mansfield,Ohio,OH,20573,0.0019929,10429,0.0032601,0.0006901,10144,0.0006821,0.0006077,0.0012119,0.0034021,0.0058427
16100,State College,Pennsylvania,PA,15970,0.0025673,8115,0.0041898,0.0008912,7855,0.0004261,0.001392,0.0011279,0.0023276,0.0101805
16200,Altoona,Pennsylvania,PA,24676,0.0016615,12371,0.0028292,0.0004876,12304,0,0.000661,0.0019611,0.0021286,0.0049923
16300,Pittsburgh,Pennsylvania,PA,140754,0.0031118,70923,0.0048503,0.0013463,69819,0.0007591,0.0014126,0.0020487,0.003609,0.0066625
16400,Youngstown,Ohio,OH,48581,0.0019349,24210,0.002974,0.0009029,24365,0.0011074,0.0008455,0.001789,0.002357,0.0045593
16500,Erie,Pennsylvania,PA,41243,0.0028611,20912,0.0049732,0.0006886,20331,0.0008919,0.0016809,0.0026787,0.0030815,0.0072829
16600,Roanoke,Virginia,VA,22913,0.0024004,11646,0.0041216,0.0006213,11267,0.0005131,0.0010513,0.0016962,0.0018105,0.0075339
16701,Elkins,West Virginia,WV,3281,0.0018287,1694,0.0023613,0.0012602,1587,0,0.0019802,0.003886,0.0022523,
16702,Morgantown,West Virginia,WV,14005,0.0015709,6992,0.0021453,0.0009981,7013,0.0003697,0.000911,0.0005977,0.0021186,0.0054675
16703,Buckhannon,West Virginia,WV,2356,0.0008489,1151,0.0017376,0,1205,0,0,0,0,
16801,Beckley,West Virginia,WV,9564,0.0006274,4792,0.0008347,0.0004192,4771,0,0.0004115,0.0008913,0.0005831,0.0022497
16802,Summersville,West Virginia,WV,3105,0.0006441,1564,0.0006394,0.0006489,1541,0,0,0.0013495,0,
16901,Charleston,West Virginia,WV,19655,0.0012719,10051,0.0019899,0.0005206,9604,0.0002572,0.0002492,0.0004578,0.000951,0.0053476
16902,Spencer,West Virginia,WV,1333,0,679,0,0,654,0,0,0,,
17000,Pikeville,Kentucky,KY,11480,0.0005226,5733,0.0008721,0.000174,5747,0.0002955,0.0003613,0.0003805,0,0.0033632
17100,Huntington,Kentucky,KY,18863,0.0008482,9512,0.0011564,0.0005347,9351,0.0002261,0.0004706,0.0006949,0.0008465,0.0030043
17200,Harrisonburg,Virginia,VA,9003,0.001444,4510,0.002439,0.0004451,4493,0,0.0009838,0.0004296,0.0010532,0.0060652
17300,Staunton,Virginia,VA,10500,0.002381,5300,0.004717,0,5200,0.0011468,0.0012717,0.0007305,0.0025641,0.0090978
17400,Hagerstown,Pennsylvania,PA,22690,0.0015425,11402,0.0026311,0.0004429,11288,0,0.0010185,0.0011572,0.0023923,0.0032144
17501,Cumberland,Maryland,MD,8691,0.0013807,4361,0.0020637,0.0006928,4330,0.0011249,0.0004464,0.0017528,0.0012361,0.003881
17502,Winchester,Virginia,VA,6586,0.0013665,3350,0.0026866,0,3236,0,0.0007082,0.0018304,0.0013689,0.0025424
17600,Charlottesville,Virginia,VA,13762,0.0016713,7000,0.0028571,0.0004437,6762,0.0004115,0.0006928,0.0025234,0.0017864,0.0027855
17700,Syracuse,New York,NY,66378,0.0031185,33675,0.0050483,0.0011314,32702,0.0004951,0.0010594,0.0026543,0.0034296,0.0074807
17800,Oneonta,New York,NY,9800,0.002449,4971,0.0040233,0.0008283,4829,0.0010422,0.0011538,0.0008428,0.0059172,0.0057197
17900,Union,New York,NY,18033,0.0038818,9265,0.0059363,0.0017108,8768,0.0007228,0.0013048,0.0025864,0.0070369,0.0074953
18000,Buffalo,New York,NY,140607,0.0032217,70855,0.0051937,0.0012187,69746,0.0008387,0.0012323,0.002134,0.0036379,0.0066833
18100,Elmira,New York,NY,20459,0.0042524,10263,0.0069181,0.0015694,10195,0.0014434,0.0026115,0.0029383,0.0049881,0.0110211
18201,Olean,New York,NY,12875,0.0026408,6575,0.003346,0.0019051,6299,0.0008532,0.0025625,0.0013654,0.0031092,0.0093697
18202,St. Marys,Pennsylvania,PA,2852,0.0035063,1433,0.0062805,0.0007047,1419,0.0072727,0.004158,0.0011442,0.0046189,0.002809
18300,Watertown,New York,NY,15924,0.00157,8024,0.001994,0.0011392,7900,0.0006824,0.0013168,0.0004716,0.0024922,0.0045845
18400,Plattsburgh,New York,NY,10081,0.0020831,5094,0.0035336,0.0006016,4987,0,0.0013204,0.0011574,0.0045106,0.0042301
18500,Amsterdam,New York,NY,7180,0.001532,3593,0.0025049,0.0005576,3587,0.0006845,0.0005546,0.0028902,0.0007097,0.003861
18600,Albany,New York,NY,58802,0.0032822,29744,0.0054801,0.0010325,29055,0.0013676,0.0014104,0.0020018,0.003664,0.0065266
18700,Sunbury,Pennsylvania,PA,11272,0.0021292,5712,0.0033263,0.0008993,5560,0.0019317,0.0011253,0.0012034,0.0021758,0.0062893
18800,Scranton,Pennsylvania,PA,47498,0.0021475,24067,0.0034487,0.0008109,23430,0.0008522,0.0014366,0.0013233,0.0023647,0.0052452
18900,Williamsport,Pennsylvania,PA,13802,0.0021011,6862,0.003789,0.0004323,6940,0.0004344,0.0003054,0.0010417,0.0047741,0.0060132
19000,Allentown,Pennsylvania,PA,35352,0.0036773,17809,0.0057274,0.0015963,17541,0.0002505,0.0017271,0.0024685,0.0033296,0.007898
19100,Reading,Pennsylvania,PA,64866,0.0025437,32702,0.0041588,0.0009017,32160,0.0006943,0.0014003,0.0008049,0.0032364,0.0058672
19200,Harrisburg,Pennsylvania,PA,61508,0.0025037,30816,0.0041861,0.0008146,30690,0.0004317,0.0011032,0.0012143,0.0029929,0.0057665
19300,Poughkeepsie,New York,NY,49123,0.0027482,24744,0.0042435,0.0012309,24373,0.0004688,0.0016095,0.001601,0.0026125,0.0054429
19400,New York,New York,NY,477899,0.0018958,237455,0.0029985,0.000807,240383,0.0005383,0.000913,0.0014964,0.002215,0.0041859
19500,Toms River,New Jersey,NJ,59250,0.0029367,29866,0.0041854,0.0016678,29380,0.0007468,0.0018602,0.0010368,0.0025965,0.0048123
19600,Newark,New Jersey,NJ,271995,0.0032905,135300,0.0051515,0.001449,136646,0.0009337,0.0012708,0.0017231,0.0028263,0.0058585
19700,Philadelphia,Pennsylvania,PA,309343,0.002279,154868,0.0036354,0.000913,154442,0.0003712,0.0006628,0.0015181,0.0023983,0.0046511
19800,Wilmington,Delaware,DE,33005,0.002636,16641,0.0043267,0.0009167,16363,0.0004706,0.0007163,0.0010098,0.0020869,0.0061703
19901,Dover,Delaware,DE,24471,0.0013077,12347,0.0021058,0.0004949,12124,0.0007037,0.0001718,0.0009756,0.0017509,0.0042774
19902,Easton,Maryland,MD,8635,0.0012739,4360,0.0018349,0.0007019,4274,0,0.0005025,0.0011338,0.0011351,0.0042493
